Start Date,End Date,Duration (in seconds),Finished,Recorded Date,Response ID,User Language,Consent,Nationality,PID,Group,Own words,More or less,More or less info used,Effectiveness,Precision,Precision info used,Precision info - just CI,Precision info - CI included at all,Understandable,Helpful,Actionable,Concise,Attention1,Credible,Recommendation,Q1,Q2,Q3,Q4,Q5,Q9,Q7a,Q8,Q10,Q11,Q6,Q13a,Q13b,Q12,Q7b,Attention2,Stat experience,SBMH experience,PROLIFIC_PID,NUMScore,NUMZ,NUMRank
3/27/2024 12:16,3/27/2024 12:30,839,TRUE,3/27/2024 12:30,R_3RacvNZgEnHdVdZ,EN,I consent to participate in this study.,United States,64d50a995a3627ba7ebeccb7,2,"This would mean that, depression prevention programs, are effective for mental health. This is a positive program for colleagues.",Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,5,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,90,,60,,,,,,,,9,,,10,,Green,0,0,64d50a995a3627ba7ebeccb7,5,-0.113,45.50%
3/27/2024 13:01,3/27/2024 13:09,497,TRUE,3/27/2024 13:09,R_5Rak7luNtiQcTCh,EN,I consent to participate in this study.,United States,6389301d2575b8e4c1e7cc5c,2,Unsure except for a little over half of the students had lower depression scores,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Strongly disagree,Agree,Somewhat agree,5,265,,14,,25,,,,,,,,,,Green,0,0,6389301d2575b8e4c1e7cc5c,3,-1.058,14.50%
3/27/2024 10:04,3/27/2024 10:09,312,TRUE,3/27/2024 10:09,R_3rJctb7SAu7qmJK,EN,I consent to participate in this study.,United States,5e219bdeadb5b7489d3529be,2,Depression prevention programs in schools are somewhat effective at helping students with depression.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,3 - Somewhat effective,4,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,75,213,,14,,25,,,,,,,,,,Green,10,0,5e219bdeadb5b7489d3529be,3,-1.058,14.50%
3/27/2024 10:53,3/27/2024 10:56,217,TRUE,3/27/2024 10:56,R_717oFRYIzEBLuAp,EN,I consent to participate in this study.,United States,6110c3b51c8b97bc69979282,2,Having depression prevention programs can lower depression scores for college students. ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,5,4,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,75,268,,,20,,,,,80,,,,,,Green,54,35,6110c3b51c8b97bc69979282,5,0.067,52.67%
3/27/2024 11:10,3/27/2024 11:17,403,TRUE,3/27/2024 11:17,R_1YxnZidkRvDPR1T,EN,I consent to participate in this study.,United States,602d71e6fe40c079523df438,2,Its a little disheartening that only 55% saw an increase in lower depression scores.  This technically means thatthe study only helped but not significantly to decrease depression scores.  ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,3 - Somewhat effective,2,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,30,268,,,20,,,,,400,,,,,,Green,19,21,602d71e6fe40c079523df438,4,-0.523,30.05%
3/27/2024 10:02,3/27/2024 10:09,404,TRUE,3/27/2024 10:09,R_1QLSHKZxAuUeYiv,EN,I consent to participate in this study.,United States,628f700669d5f6e4e33c8d8e,2,Over half of the students had lower depression levels.,Less,"Data come from 60 studies analyzed,Data represented 37,705 students,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",5,5,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Agree,Agree,Agree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,50,268,,,20,,,,,80,,,,,,Green,71,46,628f700669d5f6e4e33c8d8e,5,0.067,52.67%
3/27/2024 10:24,3/27/2024 10:29,333,TRUE,3/27/2024 10:29,R_7JATRTu2PKBVUxr,EN,I consent to participate in this study.,United States,65103b22e65677cb371b07e6,2,Students who were included in the depression prevention program were more likely to have lower depression sores than those who were not in the program. ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,5,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,80,268,,,20,,,,,200,,,,,,Green,40,3,65103b22e65677cb371b07e6,4,-0.523,30.05%
3/27/2024 10:04,3/27/2024 10:09,298,TRUE,3/27/2024 10:09,R_3sISFN6Jtwi2myt,EN,I consent to participate in this study.,United States,62e3007fd78a0537dbe4fcbd,2,That kids are going to face depression at some point in there life,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,3 - Somewhat effective,3 - Somewhat precise,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Somewhat agree,Agree,Neither agree or disagree,Agree,Strongly disagree,Somewhat agree,Neither agree or disagree,100,354,,14,,35,,,,,,,,,,Green,16,29,62e3007fd78a0537dbe4fcbd,2,-1.659,4.86%
3/27/2024 12:00,3/27/2024 12:07,423,TRUE,3/27/2024 12:07,R_38wYdbeFDIQRZWF,EN,I consent to participate in this study.,United States,5b0ad393e9270900013b96e6,2,The prevention program helped improve scores by about 3%.,Less,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",2,5,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,75,266,,14,,25,,,,,,,,,,Green,10,0,5b0ad393e9270900013b96e6,3,-1.058,14.50%
3/27/2024 9:58,3/27/2024 10:07,492,TRUE,3/27/2024 10:07,R_7hiR4ZOioQ6TVWz,EN,I consent to participate in this study.,United States,5d7ff85ffec5620017b07c40,2,The program helps with depression.  ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,0 - Not at all precise,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree or disagree,Somewhat agree,60,268,,,20,,,,,20,,,,,,Green,50,0,5d7ff85ffec5620017b07c40,4,-0.523,30.05%
3/27/2024 11:37,3/27/2024 11:42,305,TRUE,3/27/2024 11:42,R_3zeJ90Z8A2w4ajv,EN,I consent to participate in this study.,United States,5f2cc8cebc4bd01d61151550,2,There is a correlation between depression prevention programs and depression. It seems the programs can aid in lowering depressing scores. ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,3 - Somewhat effective,3 - Somewhat precise,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,90,,36,,,,,,,,18,,,,4,Green,20,0,5f2cc8cebc4bd01d61151550,6,0.843,80.04%
3/27/2024 11:53,3/27/2024 11:59,321,TRUE,3/27/2024 11:59,R_563It4KEq12vZqF,EN,I consent to participate in this study.,United States,628db649ec2ce46bc626570f,2,These findings make it seem like it's a good idea to have depression prevention programs at schools. Happier students are great for our future. ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,3 - Somewhat precise,"55% of students in the depression prevention programs had lower depression scores compared to the average control group student,95% Confidence Interval [52%, 58%]",0,1,Agree,Strongly agree,Neither agree or disagree,Agree,Strongly disagree,Somewhat agree,Agree,75,218,,14,,25,,,,,,,,,,Green,37,0,628db649ec2ce46bc626570f,3,-1.058,14.50%
3/27/2024 10:50,3/27/2024 11:05,872,TRUE,3/27/2024 11:05,R_2eraXAY8aMLT4ZW,EN,I consent to participate in this study.,United States,65a5577e1a3940a08bd4453a,1,95% confidence in the study results,Less,Standardized mean difference = -0.12,5,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,90,,90,,,,,,,,9,,,9,,Green,0,0,65a5577e1a3940a08bd4453a,5,-0.113,45.50%
3/27/2024 10:11,3/27/2024 10:28,1031,TRUE,3/27/2024 10:28,R_6QcOXc6YaRayvGb,EN,I consent to participate in this study.,United States,5d157a0cb49ab60018e6b0f9,1,"According to this statement, school depression prevention programs show minor efficacy at reducing depression in students.  ",Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",3 - Somewhat effective,3 - Somewhat precise,"95% Confidence Interval [-0.20, -0.04]",1,1,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,90,,60,,,,,,,,9,,,12,,Green,60,30,5d157a0cb49ab60018e6b0f9,5,-0.113,45.50%
3/27/2024 10:04,3/27/2024 10:10,386,TRUE,3/27/2024 10:10,R_3s5MUHej6Pg6roI,EN,I consent to participate in this study.,United States,5ae9e9cb9d82560001bdd90d,1,"Across surveys using over 37,705 students there was a .12 difference in results. The students in depression prevention programs showed less signs of depression than those not in the programs. ",Less,Standardized mean difference = -0.12,1,6 - Very precise,"95% Confidence Interval [-0.20, -0.04]",1,1,Disagree,Neither agree or disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,90,,60,,,,,,,,15,,,24,,Green,10,31,5ae9e9cb9d82560001bdd90d,6,0.51,69.50%
3/27/2024 11:51,3/27/2024 12:02,657,TRUE,3/27/2024 12:02,R_3s5Giua9pIGJxaS,EN,I consent to participate in this study.,United States,636e4ac050e0adc5c5c651df,1,"After analyzing the data from 60 studies, it was discovered that students that were in depression prevention programs had lower depression symptoms than students that were not involved in a program.",Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",4,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,30,268,,,20,,,,,80,,,,,,Green,3,2,636e4ac050e0adc5c5c651df,5,0.067,52.67%
3/27/2024 11:51,3/27/2024 12:13,1329,TRUE,3/27/2024 12:13,R_8Dub7Ca1zHJGc81,EN,I consent to participate in this study.,United States,6526ba4ac53a98bd070329de,1,All I know is that the programs lowered depression symptoms. I don't understand anything else,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",3 - Somewhat effective,4,"95% Confidence Interval [-0.20, -0.04]",1,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,60,268,,,20,,,,,80,,,,,,Green,0,0,6526ba4ac53a98bd070329de,5,0.067,52.67%
3/27/2024 10:55,3/27/2024 11:02,405,TRUE,3/27/2024 11:02,R_5dDX4HOl3tQ9l3X,EN,I consent to participate in this study.,United States,587418895c17910001ea4e75,1,"Based on 60 studies, evidence seems to support that students in depression prevention programs have lower depression symptoms.",Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",5,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree or disagree,100,536,,14,,25,,,,,,,,,,Green,9,1,587418895c17910001ea4e75,3,-1.058,14.50%
3/27/2024 12:23,3/27/2024 12:28,321,TRUE,3/27/2024 12:28,R_50vLCVnmJJIZDHV,EN,I consent to participate in this study.,United States,5d227f901e99f80018c60e1f,1,Data from multiple studies indicates that students in depression prevention programs had less depression compared to other students.,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",3 - Somewhat effective,3 - Somewhat precise,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,80,268,,,20,,,,,80,,,,,,Green,0,0,5d227f901e99f80018c60e1f,5,0.067,52.67%
3/27/2024 12:37,3/27/2024 12:46,514,TRUE,3/27/2024 12:46,R_3SCeF0SAbLvvAQX,EN,I consent to participate in this study.,United States,5bcbd66377740000016a64b0,1,Data from over 60 studies shows that those who participated in depression prevention programs had lower depression than those who were in control groups,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",5,3 - Somewhat precise,"95% Confidence Interval [-0.20, -0.04]",1,1,Neither agree or disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,100,268,,,20,,,,,80,,,,,,Green,5,0,5bcbd66377740000016a64b0,5,0.067,52.67%
3/27/2024 12:11,3/27/2024 12:15,272,TRUE,3/27/2024 12:15,R_3OUJTW0ejrZDyIb,EN,I consent to participate in this study.,United States,63d30b2b7cd6beb472ecc740,1,Depression prevention programs are effective,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",4,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Agree,Strongly disagree,Neither agree or disagree,Agree,50,268,,,20,,,,,200,,,,,,Green,51,44,63d30b2b7cd6beb472ecc740,4,-0.523,30.05%
3/27/2024 12:03,3/27/2024 12:16,757,TRUE,3/27/2024 12:16,R_5OOfWmzT5VMi787,EN,I consent to participate in this study.,United States,6547ae55eba4e6b1fffff79f,1,Depression prevention programs are more effective than control groups,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",5,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat agree,Somewhat agree,Neither agree or disagree,Agree,Strongly disagree,Agree,Agree,90,,80,,,,,,,,18,,,,2,Green,5,0,6547ae55eba4e6b1fffff79f,6,0.843,80.04%
3/27/2024 11:26,3/27/2024 11:31,274,TRUE,3/27/2024 11:31,R_7KoOenYa9fp2qVK,EN,I consent to participate in this study.,United States,63d4006208ab744ffe560182,1,Depression prevention programs are shown to reduce depression symptoms,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",5,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Disagree,Agree,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,75,268,,,20,,,,,80,,,,,,Green,53,4,63d4006208ab744ffe560182,5,0.067,52.67%
3/27/2024 11:58,3/27/2024 12:07,535,TRUE,3/27/2024 12:07,R_7Zi6gQPdyIei7vj,EN,I consent to participate in this study.,United States,5d46daa91274770001916403,1,Depression prevention programs had lower depression than those not in those programs.,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",5,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,75,220,,14,,10,,,,,,,,,,Green,14,0,5d46daa91274770001916403,2,-1.659,4.86%
3/27/2024 10:33,3/27/2024 10:45,719,TRUE,3/27/2024 10:45,R_4Lgqoc8gflFRJnP,EN,I consent to participate in this study.,United States,5eb313d87a289b0f847a7752,1,Depression prevention programs have a positive impact in lowering depression symptoms in students.,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups,95% Confidence Interval [-0.20, -0.04]",1,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Neither agree or disagree,90,,36,,,,,,,,18,,,,18,Green,0,0,5eb313d87a289b0f847a7752,6,0.843,80.04%
3/27/2024 11:56,3/27/2024 12:02,384,TRUE,3/27/2024 12:02,R_2Ehy9XuZLQkf3s0,EN,I consent to participate in this study.,United States,61391e597dbe122a2dffb914,1,Depression prevention programs usually lower depression symptoms in students.,Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",4,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Somewhat agree,90,,36,,,,,,,,18,,,,25,Green,40,1,61391e597dbe122a2dffb914,7,1.363,91.36%
3/27/2024 16:43,3/27/2024 16:49,403,TRUE,3/27/2024 16:49,R_5eRMEmq4dp0qNwd,EN,I consent to participate in this study.,United States,5d41e832b0ca7200169d857e,1,"Depression prevention programs work, because participants have less depression symptoms",Unsure,,1,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Agree,Neither agree or disagree,Agree,Agree,Strongly disagree,Somewhat agree,Disagree,75,268,,,20,,,,,12,,,,,,Green,34,0,5d41e832b0ca7200169d857e,4,-0.523,30.05%
3/27/2024 9:51,3/27/2024 9:59,519,TRUE,3/27/2024 9:59,R_1GjRc0V4AJFJXyN,EN,I consent to participate in this study.,United States,65aaf74b028a4828c08a4630,1,"Depression prevention programs work, so if you need help do not be afraid to reach out.",Less,"On average, students in depression prevention programs had lower depression symptoms compared to students in control groups",4,5,"95% Confidence Interval [-0.20, -0.04]",1,1,Agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Agree,70,268,,,20,,,,,800,,,,,,Green,1,91,65aaf74b028a4828c08a4630,4,-0.523,30.05%
